STATE,Has_RPS,CATE,CATE_lo,CATE_hi,Fossil_base,Renew_base,CO2_base
AK,0,-0.14532077251707232,-0.27086928275650235,-0.01977226227764234,77.51086290605348,22.489137093946535,0.4851816896330127
AL,0,-0.1341131719038603,-0.25683889754579386,-0.011387446261926754,66.77028483941889,10.091442681283228,0.6803469784897568
AR,0,-0.13955267905861202,-0.25464335680562766,-0.0244620013115964,61.41151431699317,10.13336528015527,0.6044064622453053
AZ,0,-0.14425342271171582,-0.2695453835522859,-0.01896146187114575,67.70127146351889,6.439154207306232,0.5717097724864363
CA,1,-0.14434818783097791,-0.2626803184373695,-0.026016057224586386,48.786458732082984,31.618729277205556,0.23691163781594035
CO,1,-0.13921630953513797,-0.259630987622219,-0.01880163144805698,95.51666383490364,4.478382189666741,0.9071278295841432
CT,1,-0.13672949021958536,-0.2554230651561938,-0.018035915282976947,48.09609226217648,3.738952254457965,0.3546669816689884
DC,1,-0.1335165299974339,-0.2546712493886635,-0.012361810606204351,100.0,0.0,1.065
DE,1,-0.12704763554825838,-0.24475932729328126,-0.009335943803235533,93.86715445576448,0.0,0.9187227890521136
FL,0,-0.13175728407655318,-0.2575854372773042,-0.0059291308758021855,82.99697212262625,2.127988293412804,0.6684756066820988
GA,0,-0.1335332702304508,-0.2592546741679591,-0.007811866292942504,71.27135001602323,5.402177799342141,0.7509555864784215
HI,0,-0.13533046379442037,-0.25331345569539243,-0.017347471893448346,92.80792196467883,5.5228071499625875,0.9955168946759084
IA,0,-0.1391618475692984,-0.26983811835248983,-0.008485576786107007,83.52427890039355,6.348698137506214,0.8938691664714606
ID,0,-0.13996917870217063,-0.2596610075589686,-0.020277349845372716,17.441432190873716,82.25625168180639,0.08552053119801761
IL,1,-0.13893855963355084,-0.2608053980812083,-0.017071721185893396,51.21030991717751,0.47170701375604707,0.5477176510113458
IN,0,-0.13485644238192118,-0.2558947831145163,-0.013818101649326106,97.16875677903819,0.3890760980437276,1.0655887001567608
KS,0,-0.12390593048609078,-0.24796205818915398,0.00015019721697240307,80.05991677691372,0.9596951792022654,0.8757181427012188
KY,0,-0.12631962886018244,-0.24670318392959856,-0.005936073790766355,96.49228575222416,3.4850838752345727,1.0632379944449022
LA,0,-0.13746433505275013,-0.2611240735604783,-0.013804596545021974,76.21926411475117,4.050273138953098,0.5354952517701129
MA,1,-0.13903913204996865,-0.2626015333792331,-0.015476730720704268,82.00927349693747,4.90124952594793,0.6280866776623689
MD,1,-0.13837351899784855,-0.26714678805610625,-0.009600249939590855,65.71131604251295,4.620814864332856,0.7069503768092763
ME,1,-0.13456184571851226,-0.24596820918727352,-0.023155482249751003,54.62473026394576,43.537720569269005,0.312477527259437
MI,1,-0.14085867207337643,-0.25990128450312044,-0.021816059643632466,68.98913084399094,3.2411449402370898,0.6969326450770716
MN,1,-0.14555889925074927,-0.2762006411375626,-0.014917157363935951,68.59106053433877,6.523050876325236,0.7307740703562801
MO,1,-0.12441257891809165,-0.24326709969653743,-0.0055580581396459106,89.99894191033333,1.2631574394906704,0.9761732813354776
MS,0,-0.14021116871462957,-0.26640085984571016,-0.014021477583549047,73.47557507759193,3.5377984644345006,0.6029055936624875
MT,1,-0.14962054210430797,-0.2845967776856085,-0.014644306523007494,66.37932783981071,33.567702604141566,0.738736567373782
NC,1,-0.13562498579208349,-0.2555506557870105,-0.015699315797156457,63.23140260465206,5.5779087493059345,0.6897233945352297
ND,0,-0.14142434721467878,-0.2587403814051048,-0.024108313024252814,94.85108273429059,4.962282208536673,1.057365918922035
NE,0,-0.1445487553981195,-0.2705215322912996,-0.018575978504939444,69.11176869291221,3.2449916577350417,0.7540664610872874
NH,1,-0.13854525294922482,-0.25355065881857375,-0.023539847079875928,50.527798405517046,11.86605780887281,0.37469520976754306
NJ,1,-0.14393302006479847,-0.26172711650552,-0.026138923624076965,45.01144785716698,1.5300919411545353,0.34042068869206377
NM,1,-0.12723057890773815,-0.24493707464907985,-0.009524083166396469,97.22330540235578,2.7766945976442265,1.006188361072381
NV,1,-0.1454652837877164,-0.27836358256072913,-0.012566985014703713,92.50167709096343,7.476707055954484,0.7242954046461683
NY,1,-0.14038865738390804,-0.2580406674943417,-0.022736647273474436,51.00495389855135,19.22190064825609,0.421790436252987
OH,1,-0.13507290757209156,-0.2579814718207868,-0.012164343323396373,89.85136924408579,0.615703725589428,0.9907307099420257
OK,0,-0.1308678037861808,-0.25633152191819547,-0.005404085654166141,94.31306515595031,5.649846208278579,0.7872821471271808
OR,1,-0.1400265791674865,-0.2576731747608576,-0.022379983574115414,33.890538314554355,66.02635290276135,0.2018650074250656
PA,1,-0.13851062549458937,-0.2581023453458351,-0.018918905643343698,62.22878422947324,2.124472761362216,0.6615284814812982
RI,1,-0.16021188839238698,-0.29607487687210926,-0.02434889991266473,99.88126739471484,0.11873260528514894,0.4603731702499678
SC,0,-0.1368461494974329,-0.2552053505704537,-0.018486948424412147,43.97875072102366,4.594047046321024,0.4575463665499118
SD,0,-0.134702003953862,-0.2554822428857017,-0.013921765022022331,49.89608671433019,50.103637616274916,0.5291279732060645
TN,0,-0.13777538183111648,-0.2552080382139586,-0.020342725448274396,61.230365614313236,10.338386113535256,0.6791951816637002
TX,1,-0.1352469802645122,-0.2669611008855603,-0.0035328596434641424,87.52722775231369,1.7181244573320533,0.6504308671721447
UT,0,-0.1432488208692213,-0.273882274513986,-0.012615367224456636,97.44729513081415,2.544542933235316,1.0666408406074621
VA,0,-0.14148833108382808,-0.257130628134854,-0.025846034032802195,59.02141310683473,5.060444115404324,0.5923065901971634
VT,1,-0.13468383155028485,-0.2545689310593467,-0.01479873204122302,0.21836433555977156,28.74950434233257,0.0020767811590592833
WA,1,-0.1405340834781471,-0.2605165316582986,-0.020551635297995655,18.8333809120975,72.60041023863762,0.15470450129724186
WI,1,-0.1388891432031656,-0.26763372133609964,-0.010144565070231565,79.19917415022341,4.775319029401752,0.8156714511476122
WV,0,-0.1335061837396263,-0.2548984408781232,-0.012113926601129477,98.15384071365317,1.7406219943424917,1.0923064219928826
WY,0,-0.1433937185159353,-0.26434277384022853,-0.022444663191642122,95.93998911220989,3.3511098416515406,1.065093615552679
